"ACTION","REWARD","A0","A1","A2","V"
"2","0.0","-0.00382731","-0.0349486","0.0488439","0.517533"
"2","0.0","0.00533291","-0.0162388","0.0253999","0.643469"
"2","0.0","0.0066736","-0.00560987","0.0106021","0.749439"
"1","0.0","0.00742967","-0.00742523","0.00951514","0.86315"
"2","0.0","0.00703797","-0.0100618","0.0137166","0.948891"
"2","0.0","0.00582939","-0.00775284","0.0155718","0.998063"
"1","0.0","0.00527699","-0.00529845","0.0171612","1.02694"
"1","0.0","0.00181153","0.0027174","0.00452305","1.12557"
"0","0.0","0.0261791","-0.0145204","-0.00470508","1.15605"
"2","0.0","0.00456106","-0.0130698","0.0232346","1.17196"
"2","0.0","0.00538338","-0.00883867","0.0217746","1.18997"
"2","0.0","0.00663608","-0.0122241","0.0248739","1.18297"
"2","0.0","0.00501076","-0.00483345","0.0144588","1.20199"
"1","0.0","0.00305172","-0.00522972","0.00889516","1.23779"
"0","0.0","0.0908803","-0.0402068","-0.0457799","1.19521"
"2","0.0","0.00982386","-0.0459905","0.0431709","1.18221"
"2","0.0","-0.0320968","-0.0360445","0.0794127","1.1421"
"2","0.0","-0.0459271","-0.0507054","0.122007","1.12575"
"2","0.0","-0.0524897","-0.0734123","0.164998","1.06426"
"2","1.0","-0.158817","-0.10759","0.330204","0.930014"
"1","0.0","0.0124344","0.0273911","0.00594395","0.255869"
"1","0.0","0.0131662","0.00953553","0.00837915","0.179862"
"1","0.0","0.0184114","0.0116928","-0.0145489","0.14564"
"0","0.0","0.0144518","0.00197675","-0.00813561","0.156359"
"0","0.0","0.0172495","0.00178242","-0.0181975","0.155774"
"1","0.0","0.0119448","0.00030819","-0.0135104","0.153272"
"0","0.0","0.00733475","-0.000847888","-0.0104149","0.149549"
"0","0.0","0.00482407","-0.0076769","-0.0183804","0.1392"
"1","0.0","-0.00138799","-0.00365291","-0.0264194","0.128078"
"1","0.0","-0.00144759","-0.0148542","-0.0218119","0.12885"
"2","0.0","-0.00220376","-0.0109117","-0.0197509","0.133577"
"1","0.0","-0.00230426","-0.00949147","-0.0173661","0.133442"
"0","0.0","0.00582232","-0.0122938","-0.0218652","0.118311"
"1","0.0","-0.00264718","-0.00831642","-0.0162955","0.126936"
"0","0.0","0.00485006","-0.00986953","-0.023172","0.123276"
"0","0.0","0.00702748","-0.00942881","-0.0172307","0.140106"
"0","0.0","0.0111725","-0.0103378","-0.0153987","0.144202"
"1","0.0","0.000703585","-0.00265151","-0.00746342","0.153556"
"0","0.0","0.0118064","-0.00819739","-0.0126923","0.156759"
"1","0.0","0.00261648","-0.00196216","-0.00551612","0.164395"
"0","0.0","0.0135168","-0.0103425","-0.00734741","0.168928"
"2","0.0","0.00347048","-0.00154475","-0.00228704","0.165533"
"1","0.0","0.00232545","0.00147244","-0.00274868","0.169221"
"0","0.0","0.0072735","-0.00637528","-4.94445e-05","0.179405"
"0","0.0","0.00607941","0.00121085","-0.00396238","0.170276"
"2","0.0","0.000714519","0.00276158","0.00131839","0.17344"
"1","0.0","0.00464195","0.00492803","-0.0073146","0.137739"
"1","0.0","0.00500418","0.00221033","-0.00641241","0.133094"
"1","0.0","0.00769284","0.000673424","-0.0095509","0.133703"
"0","0.0","0.00923326","-0.00113136","-0.0115936","0.138256"
"1","0.0","0.00580958","-0.000212113","-0.00827344","0.134889"
"0","0.0","0.00940724","-0.00102695","-0.013172","0.134479"
"0","0.0","0.0100528","-0.00379402","-0.0124942","0.132668"
