"ACTION","REWARD","A0","A1","A2","V"
"2","0.0","0.0142462","-0.107823","0.00194123","1.82914"
"0","0.0","-0.00681647","-0.0516499","-0.0414486","2.14936"
"1","0.0","-0.0389296","-0.0410903","-0.0460759","2.41635"
"1","0.0","-0.0387507","-0.0455654","-0.0599702","2.58477"
"0","0.0","-0.0453313","-0.0492812","-0.0533621","2.65171"
"1","0.0","-0.0448508","-0.0488493","-0.0495577","2.68782"
"1","0.0","-0.042077","-0.0452326","-0.0460588","2.69481"
"1","0.0","-0.0179891","-0.0201644","-0.0309763","2.73172"
"1","0.0","-0.0177807","-0.019322","-0.0306602","2.74876"
"2","0.0","-0.0131241","-0.0291179","-0.0111973","2.75167"
"2","0.0","-0.00794736","-0.0277974","-0.00993759","2.76754"
"2","0.0","-0.00605645","-0.0206481","-0.0100389","2.78965"
"2","0.0","-0.00609373","-0.0252245","-0.00935941","2.80402"
"2","0.0","-0.0028029","-0.0360384","-0.0126973","2.82215"
"0","0.0","0.0008194","-0.0417803","-0.00928018","2.8379"
"2","0.0","0.00425136","-0.0313955","-0.0127821","2.84372"
"0","0.0","0.0149274","-0.0329198","-0.0237637","2.85386"
"0","0.0","0.0360342","-0.0771846","-0.0255178","2.87096"
"0","0.0","0.0393311","-0.0712565","-0.00866856","2.90468"
"2","1.0","-0.0441068","-0.0690787","0.120692","2.83344"
"0","0.0","0.0270228","0.00277792","-0.0335546","2.10877"
"1","0.0","0.0130085","0.00371945","-0.0278472","2.09149"
"0","0.0","0.029109","-0.0383756","-0.0116585","2.05014"
"0","0.0","0.0196269","-0.0186806","-0.0225553","2.07657"
"0","0.0","0.0222853","-0.0245544","-0.0232659","2.07454"
"0","0.0","0.0126958","-0.0358277","-0.0179121","2.10366"
"0","0.0","0.0118122","-0.0339099","-0.0264408","2.14597"
"0","0.0","0.0225035","-0.0481823","-0.0239556","2.19504"
"0","0.0","0.0229772","-0.0442022","-0.028119","2.23753"
"0","0.0","0.0208013","-0.0388085","-0.0309735","2.26573"
"0","0.0","0.0109712","-0.0332097","-0.0291085","2.28529"
"0","0.0","0.0115545","-0.0333101","-0.0259814","2.31198"
"0","0.0","0.0118552","-0.0350186","-0.0225945","2.33916"
"0","0.0","0.0261581","-0.0336495","-0.0265621","2.34706"
"0","0.0","0.0238239","-0.0315095","-0.0221895","2.38951"
"0","0.0","0.0323157","-0.0430854","-0.030693","2.3853"
"0","0.0","0.0328243","-0.0528678","-0.00709269","2.4044"
"0","0.0","0.0368572","-0.0516314","-0.0102865","2.42829"
"0","0.0","0.0452216","-0.0442809","-0.0237086","2.45035"
"0","0.0","0.0523206","-0.0498599","-0.00825066","2.4723"
"0","0.0","0.0680645","-0.0428431","-0.00912985","2.49547"
"0","0.0","0.0927211","-0.0482857","0.00090144","2.51779"
"0","0.0","0.101853","-0.0514119","0.0112967","2.55989"
"0","0.0","0.10087","-0.0564469","-0.00202826","2.58137"
"0","0.0","0.0818904","-0.040345","0.00987824","2.63369"
"0","0.0","0.0587544","-0.0267587","0.0126417","2.69288"
"0","0.0","0.0464065","-0.0237507","0.00495193","2.73156"
"2","0.0","0.0056661","0.0102822","0.0290173","2.78801"
"1","0.0","-0.000635326","0.0194808","0.0167467","2.81315"
"2","0.0","0.0041939","-0.00348986","0.0140814","2.84139"
"2","0.0","0.0160052","-0.017313","0.0108676","2.87206"
"0","1.0","0.0245888","-0.0337399","0.0138336","2.88743"
"0","0.0","0.0502881","-0.0220218","0.00897154","1.91306"
"0","0.0","0.0304398","-0.0112001","0.000609664","1.94812"
"0","0.0","0.0339809","-0.0159346","0.0016739","1.96585"
"1","0.0","0.0428273","-0.0304692","0.00174881","1.96388"
"0","0.0","0.0439478","-0.022309","-0.000218618","1.91995"
"0","0.0","0.0388777","-0.0261412","-0.00173046","1.97026"
"0","0.0","0.0373335","-0.022921","-0.0104269","2.00286"
"0","0.0","0.0390932","-0.0319242","-0.00137257","2.03846"
