"ACTION","REWARD","A0","A1","A2","V"
"0","0.0","0.0888883","-0.102844","0.028653","1.17805"
"0","0.0","0.0270264","-0.000639701","0.0113176","1.46845"
"0","0.0","0.0106753","0.00805943","0.0105079","1.56006"
"0","0.0","0.0125544","0.00980597","0.00399471","1.64069"
"2","0.0","0.00844131","0.00993093","0.0118527","1.68517"
"2","0.0","0.00978855","0.0123949","0.0127423","1.69795"
"2","0.0","0.0118734","0.0123319","0.0156983","1.7071"
"2","0.0","0.0145974","0.0134556","0.0143019","1.7284"
"2","0.0","0.011136","0.0131553","0.0135828","1.7393"
"0","0.0","0.0125612","0.0135249","0.00718322","1.74864"
"0","0.0","0.0219836","0.00965337","0.00987432","1.77215"
"2","0.0","0.0029294","0.0212362","0.0101038","1.80079"
"2","0.0","0.00637843","0.0159049","0.0103859","1.82146"
"2","0.0","0.00260659","0.0219399","0.012157","1.85285"
"1","0.0","-0.00286116","0.0400224","0.0217978","1.89006"
"2","0.0","0.0024255","0.0306913","0.0280768","1.93773"
"2","0.0","-0.0374646","0.0458756","0.0288259","1.9876"
"1","0.0","-0.0552218","0.0616406","0.0161589","2.05057"
"2","0.0","-0.0698958","-0.0253947","0.119468","2.09602"
"2","1.0","-0.116607","-0.0877989","0.312985","2.02056"
"0","0.0","0.0723005","-0.0320304","0.0307266","1.33442"
"0","0.0","0.0553831","-0.0266141","0.0511125","1.3936"
"0","0.0","0.0415152","-0.0103625","0.0238538","1.42903"
"0","0.0","0.0230161","-0.0130882","0.0161875","1.44495"
"0","0.0","0.0261106","-0.018036","-0.000670295","1.43491"
"0","0.0","0.0234513","-0.0283678","0.00163882","1.43304"
"0","0.0","0.00201324","-0.00966619","0.000645352","1.43811"
"0","0.0","-0.00534074","0.00138971","-0.0102938","1.46684"
"0","0.0","-0.00191203","-0.00582735","-0.0148553","1.47134"
"2","0.0","-0.013253","-0.00860087","-0.0123339","1.48"
"0","0.0","-0.00243752","-0.0183147","-0.016256","1.47436"
"0","0.0","-0.00471077","-0.0246692","-0.00759724","1.48928"
"0","0.0","-0.00847381","-0.0214142","-0.00512773","1.51155"
"0","0.0","0.010623","-0.0401883","-0.0119332","1.51246"
"2","0.0","-0.00396495","-0.0297268","-0.00214903","1.51977"
"0","0.0","-0.00336272","-0.0255377","-0.0100238","1.52355"
"0","0.0","-0.00367559","-0.0260799","-0.00777556","1.5476"
"0","0.0","0.00953695","-0.037432","-0.00974297","1.53764"
"0","0.0","0.00585798","-0.0249341","-0.0167872","1.53375"
"0","0.0","0.0113974","-0.0266613","-0.0168657","1.54975"
"0","0.0","-0.00607044","-0.010343","-0.0209146","1.52586"
"0","0.0","0.00308141","-0.0301868","-0.00804478","1.54767"
"0","0.0","0.0174857","-0.0338516","-0.0153905","1.56813"
"0","0.0","0.0363123","-0.0587387","-0.00649688","1.64693"
"0","0.0","0.0395735","-0.0487131","-0.00131428","1.73147"
"0","0.0","0.0613793","-0.0441312","-0.0154934","1.77621"
