"ACTION","REWARD","A0","A1","A2","V"
"0","0.0","0.0770287","-0.0834724","0.0157155","0.804722"
"0","0.0","0.0486063","-0.0262166","0.0045301","0.912676"
"2","0.0","0.0217923","-0.0189575","0.02191","0.96104"
"2","0.0","0.0155883","-0.00720238","0.00834596","0.980993"
"0","0.0","0.0178452","-0.00222172","-0.00289427","0.984516"
"0","0.0","0.0190058","-0.00587267","0.000509221","0.993285"
"0","0.0","0.0193679","-0.00422626","0.00104083","0.994578"
"0","0.0","0.0294225","0.0165411","-0.0232636","1.07417"
"2","0.0","0.0100027","-0.00897648","0.0407428","1.14707"
"2","0.0","0.0119553","-0.000796036","0.02923","1.21647"
"2","0.0","0.0179777","0.00113274","0.0224395","1.28849"
"2","0.0","0.0141841","0.000600346","0.0313017","1.37446"
"2","0.0","0.00319285","0.00438806","0.049697","1.48269"
"2","0.0","-0.0111603","0.0303674","0.039336","1.57207"
"1","0.0","-0.00544948","0.0320649","0.0485803","1.65073"
"2","0.0","0.0211676","-0.0286277","0.0518334","1.74355"
"2","0.0","-0.0422601","-0.0259581","0.0780061","1.76245"
"2","0.0","-0.0320491","-0.0369923","0.0793696","1.7961"
"2","0.0","-0.0456152","-0.0696471","0.154559","1.77968"
"2","1.0","-0.149701","-0.130545","0.376407","1.63068"
"0","0.0","0.0350313","0.00999682","0.0248043","1.05741"
"0","0.0","0.0320488","0.0152947","0.0244309","1.05267"
"0","0.0","0.0320174","0.0152379","0.011043","1.04091"
"0","0.0","0.0254116","0.00191094","0.0182404","1.057"
"0","0.0","0.0231463","0.00323914","0.00484509","1.05873"
"0","0.0","0.0223021","-0.00342064","0.010075","1.07973"
"0","0.0","0.0241742","-0.00295404","0.00152335","1.08052"
"0","0.0","0.0168358","-0.00143335","0.00322931","1.08801"
"0","0.0","0.0176804","-0.00293717","0.000215006","1.09923"
"0","0.0","0.0134956","-0.0108488","0.0071966","1.10736"
"0","0.0","0.0136958","-0.00928173","-0.00191936","1.11558"
"0","0.0","0.0162635","-0.0082461","-0.00478618","1.11485"
"1","0.0","0.0122378","-0.0025925","0.0012828","1.12454"
"0","0.0","0.0157788","-0.00560045","-0.00214829","1.11879"
"1","0.0","0.0143174","-0.00257328","0.00305874","1.12681"
"0","0.0","0.00506718","-0.00056744","0.00764618","1.13465"
"0","0.0","0.0145815","-0.0020025","0.00533434","1.13588"
"0","0.0","0.0247474","-0.0131154","0.00932803","1.14011"
"1","0.0","0.01972","-0.00285143","0.00706463","1.14364"
"0","0.0","0.0230108","-0.00926012","0.0106559","1.13901"
"0","0.0","0.0189023","-0.00070191","0.00627006","1.14156"
"0","0.0","0.0202831","-0.00521261","0.00994586","1.15212"
"1","0.0","0.00927213","0.00599128","0.00988567","1.1664"
"0","0.0","0.0231831","-0.00332541","0.00330484","1.15816"
"1","0.0","0.0107857","0.00460378","0.00917965","1.17097"
"0","0.0","0.0234684","-0.00320331","0.00297414","1.16035"
"1","0.0","0.0111127","0.00564979","0.00855207","1.16388"
"0","0.0","0.0231849","-0.00320289","0.0040198","1.15893"
"1","0.0","0.0111938","0.00596329","0.00904862","1.16214"
"0","0.0","0.0232438","-0.00311913","0.00464751","1.15801"
"1","0.0","0.0112779","0.00600349","0.00952051","1.16179"
"0","0.0","0.0233483","-0.00301267","0.00486094","1.15776"
"1","0.0","0.0113828","0.00608845","0.00962438","1.16169"
"0","0.0","0.023426","-0.00297641","0.00495429","1.15777"
"1","0.0","0.0114398","0.00613559","0.00966404","1.16169"
"0","0.0","0.0234632","-0.00295398","0.00499504","1.1578"
"1","0.0","0.0114631","0.00614551","0.00970257","1.16173"
"0","0.0","0.023478","-0.00294676","0.00502362","1.15783"
"1","0.0","0.0114723","0.00614428","0.00973097","1.16175"
"0","0.0","0.0234834","-0.0029499","0.00504735","1.15785"
"2","0.0","0.011476","0.00614007","0.00975023","1.16177"
"1","0.0","0.00980571","0.00810024","0.00683145","1.16845"
"1","0.0","0.0166229","0.0067433","0.00295185","1.16219"
"0","0.0","0.026583","-0.00723865","0.00688252","1.16202"
"1","0.0","0.0173453","0.00684628","0.00635321","1.15547"
"1","0.0","0.0146147","0.00539424","0.0115163","1.14035"
"1","0.0","0.0145876","0.00903783","0.0101009","1.133"
"0","0.0","0.0181541","0.00495862","0.00636059","1.12134"
"2","0.0","0.013525","0.00467429","0.016589","1.13132"
"1","0.0","0.0122874","0.00891747","0.0148494","1.1327"
"1","0.0","0.013379","0.00895002","0.0105426","1.13487"
"0","0.0","0.0156198","0.00366536","0.00806882","1.13037"
"0","0.0","0.0172093","-0.00309521","0.0100286","1.136"
"0","0.0","0.0171971","-0.000546058","0.00933542","1.15187"
"2","0.0","0.0128537","0.00121244","0.00863833","1.14749"
"1","0.0","0.0201259","-0.00251195","0.00709962","1.15153"
"0","0.0","0.0207371","0.000622121","0.00795959","1.14505"
"0","0.0","0.0226604","-0.00400417","0.00999592","1.14666"
"1","0.0","0.0155758","0.0112622","0.00359172","1.146"
"2","0.0","0.0143012","0.00519374","0.0118619","1.14057"
"1","0.0","0.01324","0.00718967","0.0118179","1.13678"
"1","0.0","0.0136813","0.00921875","0.0119197","1.13092"
"1","0.0","0.0135403","0.00684537","0.0113491","1.13423"
"0","0.0","0.0177508","0.00229193","0.00962016","1.12044"
"2","0.0","0.0134658","0.00354444","0.0134989","1.13457"
"1","0.0","0.0112945","0.00465124","0.0100124","1.12405"
"0","0.0","0.0175765","-0.00374193","0.00735712","1.12675"
"0","0.0","0.0187612","-0.00238392","0.00499652","1.13385"
"2","0.0","0.0152575","-0.00270103","0.0125737","1.15118"
"0","0.0","0.0178063","0.00524754","0.00237385","1.14543"
"0","0.0","0.0239182","-0.0057607","0.00779228","1.15316"
"1","0.0","0.0158326","0.00828747","0.00590229","1.1528"
"0","0.0","0.0242249","-0.00192594","0.00486069","1.15591"
"1","0.0","0.0146799","0.00916676","0.00848289","1.13298"
"2","0.0","0.0130569","0.00740109","0.0112722","1.13694"
"0","0.0","0.0141284","0.00624719","0.0120044","1.13799"
"1","0.0","0.0116994","0.0114392","0.0102536","1.13217"
"2","0.0","0.0136191","0.00414601","0.0153322","1.13803"
