"ACTION","REWARD","A0","A1","A2","V"
"0","0.0","0.0808288","-0.125615","0.0316715","1.35868"
"1","0.0","-0.00640859","-0.00696756","0.00551591","1.70595"
"2","0.0","-0.0181623","-0.0265469","0.0177215","1.83804"
"0","0.0","-0.0118645","-0.0193437","-0.00788449","1.94319"
"2","0.0","-0.019687","-0.0228887","0.00033122","2.02487"
"2","0.0","-0.0180227","-0.0233038","0.000590239","2.05049"
"2","0.0","-0.016186","-0.023278","0.00266091","2.05772"
"0","0.0","-0.00665172","-0.00965368","0.00339695","2.0987"
"1","0.0","-0.00393406","0.00645867","0.000931206","2.09779"
"0","0.0","0.00762196","-0.0156684","0.0152601","2.12075"
"1","0.0","0.00511988","0.00748003","0.00397823","2.1171"
"0","0.0","0.0112565","-0.00682881","0.00765022","2.13195"
"0","0.0","0.00993161","0.00380974","0.0103151","2.13292"
"2","0.0","0.0057965","-0.00560466","0.0218979","2.15972"
"1","0.0","0.00392156","0.017486","0.0185094","2.16383"
"1","0.0","-0.0133124","0.0242241","0.0301063","2.16735"
"1","0.0","-0.0426457","0.0286707","0.0338985","2.15704"
"2","0.0","0.00632934","-0.0159602","-0.0124014","2.20743"
"2","0.0","0.0019935","-0.0347981","0.0155962","2.1978"
"1","0.0","-0.0674683","-0.050594","0.151058","2.08677"
"0","0.0","0.0822227","-0.10103","0.00521437","2.14548"
"2","1.0","-0.0578393","-0.0850238","0.202469","2.096"
"0","0.0","0.0265583","0.0113121","-0.0140044","1.31081"
"1","0.0","0.0172591","-0.00729921","0.00381744","1.34905"
"0","0.0","0.0229355","-0.0189201","-0.0149612","1.30608"
"0","0.0","0.027741","-0.0199","-0.0173778","1.33606"
"0","0.0","0.0243545","-0.0323971","-0.00920314","1.3606"
"0","0.0","0.0418416","-0.0585994","-0.0154018","1.39006"
"0","0.0","0.0339451","-0.0558492","-0.0304661","1.4409"
"0","0.0","0.054914","-0.0808847","-0.0380513","1.52174"
"0","0.0","0.0442489","-0.0869545","-0.0266299","1.60408"
"0","0.0","0.0273665","-0.077618","-0.0251729","1.68766"
"0","0.0","0.0324589","-0.0797824","-0.0363556","1.74929"
"0","0.0","0.025188","-0.0751289","-0.0269004","1.8399"
"1","0.0","0.016723","-0.0741765","-0.0221823","1.87666"
"0","0.0","0.0213554","-0.0659409","-0.0323183","1.86509"
"0","0.0","0.0117063","-0.0662047","-0.0281068","1.88858"
"0","0.0","0.0189703","-0.0604867","-0.0392373","1.90517"
"0","0.0","0.0228752","-0.0702436","-0.027141","1.94163"
"0","0.0","0.00972806","-0.0651496","-0.0288344","1.98327"
"0","0.0","0.0784236","-0.099815","-0.0700813","1.99787"
"0","0.0","0.108606","-0.157239","-0.00780038","2.07265"
"0","0.0","0.102631","-0.121817","-0.0145632","2.12425"
"0","0.0","0.0736096","-0.0710237","-0.00434368","2.19721"
"0","0.0","0.0737355","-0.0657413","0.0141033","2.2245"
"0","0.0","0.096356","-0.0682991","0.0115957","2.2388"
"2","0.0","0.0915557","-0.0531942","0.0185375","2.28463"
"0","0.0","0.0886338","-0.0406524","0.0230298","2.22365"
"0","0.0","0.0861183","-0.0409896","0.0377026","2.24261"
"0","0.0","0.0924882","-0.0369099","0.0265283","2.24741"
"0","0.0","0.0913378","-0.0459155","0.0332539","2.24033"
"0","0.0","0.091881","-0.0182703","0.0309876","2.16114"
"0","0.0","0.0799996","-0.0121621","0.0435481","2.19508"
"2","0.0","0.0315031","0.028036","0.0667108","2.26289"
"2","0.0","0.0174518","0.0399433","0.0563147","2.28527"
"2","0.0","0.0208465","0.0229314","0.0523602","2.32209"
"1","0.0","0.0244172","0.0177714","0.0442353","2.33351"
"0","0.0","0.0375641","-0.0150301","0.0232223","2.35786"
"2","0.0","0.0311189","-0.0327418","0.0382735","2.39869"
"1","0.0","0.0398375","-0.031292","0.0335187","2.39393"
"2","0.0","0.0357391","-0.0322546","0.0524472","2.37896"
"0","0.0","0.0874797","-0.0423371","0.0200738","2.32415"
"0","0.0","0.0991635","-0.0537139","0.0258425","2.36541"
"0","0.0","0.103622","-0.0519654","0.0146733","2.37024"
"0","0.0","0.0769185","-0.0456439","0.0267407","2.42103"
"2","0.0","0.0569268","-0.00787065","0.0505456","2.29545"
"2","0.0","0.0334461","0.0156407","0.0468999","2.28919"
"2","0.0","0.0337848","0.0066237","0.0394516","2.30971"
"0","0.0","0.0331097","0.00378344","0.0320162","2.33027"
"2","0.0","0.0114953","0.0107675","0.0442366","2.37245"
"0","0.0","0.00851855","0.0110568","0.0422236","2.38243"
"2","0.0","0.00705002","-0.00239384","0.00922379","2.44368"
"0","0.0","0.0204499","-0.0289391","0.00607193","2.44425"
"2","0.0","0.0115897","-0.0313035","0.0231874","2.50057"
"0","0.0","-0.00538563","-0.0225297","0.0369341","2.54188"
"0","0.0","0.0196297","-0.00894628","0.00640887","2.54536"
"2","0.0","-0.0158481","0.00152795","0.0483176","2.56627"
"2","0.0","-0.0158271","0.00391294","0.0424869","2.57368"
"2","0.0","-0.0144002","0.00551631","0.0333943","2.57012"
"2","0.0","-0.016761","0.00333903","0.0339849","2.57933"
