"ACTION","REWARD","A0","A1","A2","V"
"2","0.0","0.00985773","-0.00651824","0.0233775","0.0857944"
"1","0.0","0.00889348","-0.00155941","0.0365105","0.15622"
"2","0.0","0.0103354","0.0105652","0.0302167","0.190803"
"1","0.0","0.0120757","0.0225683","0.0201791","0.227601"
"1","0.0","0.0123493","0.0270689","0.020116","0.26443"
"0","0.0","0.0127347","0.027528","0.0242564","0.286889"
"1","0.0","0.0140898","0.0289199","0.0251939","0.297238"
"1","0.0","0.0195438","0.034839","0.00206111","0.391385"
"1","0.0","-0.00946755","0.0361015","0.0179952","0.456273"
"0","0.0","0.039255","-0.00975114","0.0103396","0.419498"
"1","0.0","0.00381001","0.022642","0.0186026","0.569177"
"0","0.0","0.0846347","-0.081315","0.0484667","0.543778"
"0","0.0","0.0429736","-0.0461477","0.046439","0.741258"
"1","0.0","-0.026484","0.0243408","0.0397518","0.851749"
"0","0.0","0.0386607","-0.0679421","0.0467581","0.886654"
"1","0.0","-0.0481257","0.0516976","0.0211992","0.949247"
"0","0.0","0.0905603","-0.0867982","0.0246534","0.859148"
"1","0.0","-0.0805973","0.110132","0.0453747","0.701486"
"1","0.0","0.107654","-0.137977","0.093221","0.63074"
"0","0.0","0.20177","-0.185048","0.0585622","0.34634"
"0","0.0","0.144165","-0.126299","0.047116","0.51746"
"1","0.0","-0.0936254","0.155891","0.0165355","0.555222"
"0","0.0","0.104844","-0.128809","0.0685535","0.532226"
"1","0.0","-0.053541","0.106179","-0.000424389","0.412979"
"0","0.0","0.0772021","-0.0604326","0.013842","0.398324"
"1","0.0","-0.0609977","0.103091","-0.00527373","0.416061"
"0","0.0","0.0729321","-0.0725903","0.0224141","0.400626"
"1","0.0","-0.0962759","0.141552","-0.0106055","0.479118"
"0","0.0","0.0666612","-0.113603","0.0616669","0.488803"
"1","0.0","-0.0942376","0.143714","-0.0159387","0.48182"
"0","0.0","0.0661911","-0.110738","0.0592309","0.491503"
"0","0.0","-0.105386","0.165519","-0.0240385","0.464719"
"1","0.0","-0.13151","0.156079","0.0222449","0.293445"
"1","0.0","-0.127999","0.167265","-0.0169042","0.488911"
"2","0.0","-0.013636","-0.0788617","0.100448","0.508794"
"1","0.0","0.00311355","0.0506634","-0.0225049","0.186728"
"0","0.0","0.0251657","-0.0288232","0.0332558","0.316464"
"1","0.0","-0.0072134","0.0320658","0.0172922","0.202325"
"0","1.0","0.0229908","-0.0366394","0.0425135","0.282748"
"0","0.0","0.014244","0.0036362","0.00469346","0.133579"
"2","0.0","-0.00285029","-0.00482316","0.0118803","0.152914"
"0","0.0","-0.00866443","-0.00976959","0.00791314","0.16624"
"1","0.0","-0.00726188","-0.00552401","-0.00699299","0.172915"
"1","0.0","-0.0120095","-0.0105913","-0.00137593","0.176013"
"0","0.0","-0.00718995","-0.0082385","-0.00623769","0.185713"
"2","0.0","-0.0125001","-0.0269583","0.0115041","0.201354"
"1","0.0","-0.011216","-0.00835927","-0.0214447","0.152138"
"1","0.0","-0.0128847","0.00626051","-0.0280741","0.144865"
"2","0.0","-0.0170296","-0.0201207","0.0126104","0.144014"
"2","0.0","-0.00939054","-0.00308114","0.00642245","0.131209"
"1","0.0","-0.00825407","0.00293909","0.0073329","0.126543"
"0","0.0","0.0377136","-0.0360649","0.00129523","0.118006"
"1","0.0","-0.00175027","0.012826","-0.000588201","0.154965"
"0","0.0","0.0129746","-0.0103772","0.0043767","0.101731"
"2","0.0","-0.00183329","-0.0102176","0.00936618","0.13824"
"0","0.0","-0.00446649","-0.00793606","-0.000355492","0.144663"
"0","0.0","-0.00361601","-0.00334228","-0.0125904","0.165495"
"2","0.0","-0.0118176","-0.0111652","-0.000765998","0.176434"
"2","0.0","-0.0143743","-0.0153131","0.00417059","0.181542"
"2","0.0","-0.0107058","-0.0298989","0.00738551","0.189304"
"0","0.0","-0.0111695","-0.0107691","-0.0252982","0.145869"
"0","0.0","-0.0133507","-0.0126516","-0.0207415","0.159735"
"1","0.0","-0.0199069","-0.0208884","0.00516061","0.142346"
"0","0.0","0.00172317","-0.0161542","-0.0164343","0.184506"
"0","0.0","-0.00315348","-0.00758694","-0.0122301","0.182638"
"0","0.0","-0.0314148","0.025095","-0.00802324","0.202516"
